word,frequency
think,0.22153846153846155
human,0.22923076923076924
would,0.19692307692307692
ai,0.5169230769230769
nothing,0.13076923076923078
emotions,0.24
conscious,0.12923076923076923
never,0.08923076923076922
say,0.09538461538461539
understand,0.2169230769230769
machine,0.07230769230769231
consciousness,0.06769230769230769
believe,0.06615384615384616
humans,0.05846153846153846
know,0.09846153846153846
need,0.07538461538461538
anything,0.05384615384615385
programmed,0.04923076923076923
could,0.07538461538461538
make,0.07846153846153846
intelligence,0.05384615384615385
cannot,0.04
impression,0.052307692307692305
artificial,0.046153846153846156
needs,0.033846153846153845
always,0.055384615384615386
truly,0.04153846153846154
give,0.09538461538461539
seem,0.047692307692307694
ever,0.03076923076923077
still,0.03230769230769231
use,0.033846153846153845
emotion,0.033846153846153845
want,0.03538461538461538
self,0.023076923076923078
dont,0.023076923076923078
understands,0.052307692307692305
maybe,0.024615384615384615
tool,0.024615384615384615
based,0.055384615384615386
program,0.021538461538461538
show,0.021538461538461538
able,0.05384615384615385
works,0.018461538461538463
aware,0.023076923076923078
learning,0.02
talk,0.03076923076923077
since,0.016923076923076923
matter,0.027692307692307693
beyond,0.021538461538461538
